Product Name,Product Category,Product Price,Product Price (INR),Quantity
Potato Brushed,Fruits & Vegetables,$5.71,309.77,5kg
Lemon minimum,Fruits & Vegetables,"$1.50

500g
(approx.)


$2.99 per kg",81.38,500g
Banana minimum,Fruits & Vegetables,"$4.40

1kg
(approx.)


$4.40 per kg",238.7,1kg
Guava minimum,Fruits & Vegetables,"$6.11

350g
(approx.)


$17.45 per kg",331.47,350g
Egg Plant Long minimum,Fruits & Vegetables,"$2.86

500g
(approx.)


$5.71 per kg",155.16,500g
Arvi Small minimum,Fruits & Vegetables,"$5.72

500g
(approx.)


$11.43 per kg",310.31,500g
Beans Long minimum,Fruits & Vegetables,"$5.43

.500g
(approx.)


$10.86 per kg",294.58,500g
Potato Wash,Fruits & Vegetables,$8.57,464.92,5kg
Onion Brown minimum,Fruits & Vegetables,"$1.71

1kg
(approx.)


$1.71 per kg",92.77,1kg
Musturd Leaves,Fruits & Vegetables,$1.79,97.11,1 Bunch
Mung Bean Sprout,Fruits & Vegetables,$2.14,116.1,200g
Onion Brown,Fruits & Vegetables,$11.76,637.98,10kg
Potato Brushed minimum,Fruits & Vegetables,"$1.33

1kg
(approx.)


$1.33 per kg",72.15,1kg
Master Indian Chapati - Whole Meal Roti,Bread & Fresh Chapati,$5.00,271.25,10pcs
Master Indian Chapati - Plain Roti,Bread & Fresh Chapati,$5.00,271.25,10pcs
Master Indian Chapati - Methi Roti,Bread & Fresh Chapati,$5.00,271.25,8pcs
Master Indian Chapati - Missi Roti,Bread & Fresh Chapati,$5.00,271.25,8pcs
Master Indian Chapati - Ragi Roti,Bread & Fresh Chapati,$4.99,270.71,8pcs
Master Indian Chapati - Multi Grain Roti,Bread & Fresh Chapati,$4.99,270.71,8pcs
Master Indian Chapati - Makki Roti,Bread & Fresh Chapati,$4.99,270.71,8pcs
Master Indian Chapati - Rumali Roti,Bread & Fresh Chapati,$4.99,270.71,6pcs
Master Indian Chapati - Onion Chilli Roti,Bread & Fresh Chapati,$4.99,270.71,8pcs
Master Indian Chapati - Ajwain,Bread & Fresh Chapati,$4.99,270.71,8pcs
Master India Chapati - Whole Meal Roti,Bread & Fresh Chapati,$5.00,271.25,10pcs
Master India Chapati - Garlic Roti,Bread & Fresh Chapati,$5.00,271.25,8pcs
Master India Chapati - Missi Roti,Bread & Fresh Chapati,$5.00,271.25,8pcs
Modern Rice Roti,Bread & Fresh Chapati,$4.07,220.8,500g
Pitta Bread - W/​Meal,Bread & Fresh Chapati,$4.49,243.58,10 Pcs
Parle G Gold,Biscuits,$4.99,270.71,1kg
Parle Hide & Seek,Biscuits,$5.99,324.96,400g
Priyagold Butter Bite - Pista & Almond,Biscuits,$9.33,506.15,520g
Priyagold CNC Crack Cheers Family Pack,Biscuits,$6.78,367.82,500g
Priyagold Snacks Zig Zag,Biscuits,$5.61,304.34,450g
Priyagold Cream Cardamom,Biscuits,$5.48,297.29,430g
Priyagold Butter Bite - Butter,Biscuits,$9.33,506.15,520g
Bikano Suji Rusk,Biscuits,"was $6.58


$4.99",356.96,600g
Parle Rusk Elaichi,Biscuits,$6.33,343.4,600g
Britannia Milk Rusk,Biscuits,$7.49,406.33,560g
Britannia Little Hearts,Biscuits,$1.73,93.85,75g
Parle G - Export Pack,Biscuits,$4.38,237.61,799g
Parle Krack Jack,Biscuits,"was $4.99


$3.99",270.71,400g
Britannia Biscuits Jim Jam,Biscuits,$1.61,87.34,100g
Britannia Good Day Cashew,Biscuits,$10.43,565.83,720g
Haldiram's Khari - Plain,Biscuits,$2.82,152.98,200g
Parle G,Biscuits,$3.49,189.33,800g
Britannia Good Day - Pista & Badam,Biscuits,$10.43,565.83,720G
Haldiram's Khari - Jeera,Biscuits,$2.82,152.98,200g
Britannia Treat Bourbone,Biscuits,$5.29,286.98,390g
Haldiram's Khari - Methi,Biscuits,$2.82,152.98,200g
Parle G,Biscuits,$3.49,189.33,800g
Britannia Cake Rusk,Biscuits,$10.59,574.51,550g
Britannia Choco Cream Biscuits Bourbon,Biscuits,$1.23,66.73,97g
Britannia Milk Rusk 1.​ (​ X 4),Biscuits,$11.75,637.44,120 kg
Britannia Good Day Cashew,Biscuits,$1.27,68.9,75g
Parle Hide & seek Chocolate 82.​ X 5 pack,Biscuits,$7.39,400.91,5 G
Britannia Milk Bikis cream,Biscuits,$1.24,67.27,100g
Britannia Good Day Pista & Badam,Biscuits,$1.48,80.29,75g
Britannia Good Day Chocochip,Biscuits,$1.73,93.85,120g
Britannia Nice Time Coconut x 6 pack,Biscuits,$6.87,372.7,80g
Britannia Treat Bourbone,Biscuits,$9.88,535.99,780g
Britannia Milk Biscuits,Biscuits,$6.09,330.38,540g
Parle G,Biscuits,$3.49,189.33,800g
Frontier Rusk Eggless,Biscuits,$16.13,875.05,1kg
Britannia 50 -50 Sweet & Salt,Biscuits,$1.08,58.59,62g
Britannia Cake Rusk,Biscuits,$3.86,209.4,240g
Parle Monaco,Biscuits,"was $4.99


$3.99",270.71,400g
Britannia Milk Bikis,Biscuits,$1.26,68.36,100g
Britannia Digestive,Biscuits,$3.90,211.58,400g
Britannia Cake - Fruit Egg Less,Biscuits,$4.92,266.91,250g
Britannia 50 -50 Maska Chaska,Biscuits,$1.18,64.02,62g
Britannia Krunch Chocochips,Biscuits,$4.93,267.45,512g
Britannia Good Day Butter,Biscuits,$10.10,547.92,720G
Britannia Good Day Chocochips Cookies x 6pk,Biscuits,$7.28,394.94,120g
Britannia Digestive Sugar Free,Biscuits,$2.51,136.17,200G
Atul Khari - Plain,Biscuits,$2.73,148.1,200g
Britannia Good Day Cashew,Biscuits,$4.03,218.63,231g
Thums Up Tin,Drinks,$1.99,107.96,300ml
Frooti Mango,Drinks,$4.93,267.45,1ltr
Mtr Badam Drink 6pk,Drinks,$11.53,625.5,180ml
Frooti Mango X 6 Pk,Drinks,$9.88,535.99,200ml
Jeeru - Jeera Masala,Drinks,$2.56,138.88,600ml
Maaza Mango,Drinks,$2.88,156.24,600ml
Jeeru Jeera Masala,Drinks,$2.18,118.27,300ml
Mtr Badam Drink,Drinks,$2.07,112.3,180ml
Mtr Badam Drink Cardamom,Drinks,$1.96,106.33,180ml
Patanjali Aloe Vera Juice,Drinks,$9.50,515.38,1 Ltr
Real Juice - Guava,Drinks,$5.51,298.92,1l
Mtr Badam Drink Cardm 6 X,Drinks,$11.23,609.23,180ml
Thums Up,Drinks,$2.74,148.65,1 Ltr
7up Nimbooz,Drinks,$2.18,118.27,250ml
Mapro Rose Sharbat,Drinks,$7.83,424.78,700ml
Real Juice - Mango Nectar,Drinks,$4.89,265.28,1ltr
Real Juice - Green Mango,Drinks,$6.05,328.21,1l
Real Juice - Alphonso Mango,Drinks,$7.20,390.6,1l
Kushi Mango Drink,Drinks,$2.59,140.51,1ltr
Kushi Pomegranate Drink,Drinks,$2.62,142.14,1ltr
Mapro Kokum Crush,Drinks,$7.83,424.78,700ml
Bikano Thandai Drink,Drinks,$2.17,117.72,180ml
Patanjali Amla Juice,Drinks,$4.32,234.36,500ml
Patanjali Giloy Juice Best Before - 31/​03/​2024,Drinks,$7.13,386.8,500ml
Real Juice - Mixed Fruit,Drinks,$5.48,297.29,1l
B Natural Guava Juice,Drinks,"was $5.48


$4.29",297.29,1ltr
Mtr Badam Drink - Rose,Drinks,$1.76,95.48,180ml
Mtr Badam Drink - Rose 6 X,Drinks,$10.59,574.51,180ml
Mapro Litchi Crush,Drinks,$7.83,424.78,700ml
Patanjali Karela Amlajuice,Drinks,$6.91,374.87,500ml
777 Nannari Sharbat,Drinks,$4.93,267.45,750ml
Jeeru - Jeera Masala,Drinks,$2.18,118.27,300ml
Maaza,Drinks,$5.18,281.02,1ltr
Mapro Khus,Drinks,$7.83,424.78,750ml
Real Juice - Litchi,Drinks,$6.11,331.47,1l
Swadeshi Amla Ras,Drinks,$6.00,325.5,500ml
B Natural Litchi Juice,Drinks,"was $5.48


$4.29",297.29,1ltr
Sipso Coconut Water,Drinks,$3.13,169.8,520ml
777 Rose Sharbat,Drinks,$4.93,267.45,750ml
Amul Kool Cafe X 6pk,Drinks,$10.32,559.86,200ml
Appy Fizz,Drinks,$4.93,267.45,1ltr
Red Bull,Drinks,$1.63,88.43,250ml
Swadeshi Triphala Ras,Drinks,$6.56,355.88,500ml
Bikano Badam Drink,Drinks,$2.17,117.72,180ml
Mapro Pink Guava Crush,Drinks,$6.60,358.05,750ml
Mapro Variyali Sarbat,Drinks,$7.83,424.78,750ml
Nu-Pure Water X 24,Drinks,$16.48,894.04,600ml
Haldiram's Gulab Jamun 16pc,Sweets,$6.99,379.21,1kg
Haldiram's Rasmalai,Sweets,$6.55,355.34,1kg
Haldiram's Rasgulla,Sweets,$7.19,390.06,1kg
Haldiram's Badam Halwa,Sweets,"was $3.99


$2.99",216.46,200g
Haldiram's Soan Papdi Red,Sweets,$3.38,183.36,250g
Bikaji Sweet - Gulab Jamun,Sweets,"was $6.99


$5.49",379.21,1 Kg
Saurbhi Sweet Motichoor Ladoo,Sweets,$4.59,249.01,200g
Nanak Khoa/​Mawa,Sweets,$8.79,476.86,341g
Haldiram's Soan Papdi Yelllo,Sweets,$3.37,182.82,250g
Saurbhi Sweet Kaju Katli,Sweets,$8.25,447.56,200g
Haldiram's Soan Papdi Yellow,Sweets,$6.40,347.2,500g
Saurbhi Sweet - Milk Cake,Sweets,$7.50,406.88,200g
Saurbhi Shreekhand - Kesar Pista,Sweets,$10.79,585.36,500g
Parsram Alphonso Mango Pulp,Sweets,"was $6.49


$4.99",352.08,850g
Saurbhi Shreekhand - Mango,Sweets,$10.49,569.08,500g
GRB Bombay Halwa,Sweets,"was $3.80


$2.99",206.15,200g
Saurbhi Sweet Motichur Ladoo,Sweets,$10.38,563.12,400g
Grb Sweet - Gulab Jamun,Sweets,$8.13,441.05,1kg
Haldiram's Sweet Gajar Halwa,Sweets,$7.07,383.55,283g
Saurbhi Shreekhand - Rajbhog,Sweets,$10.49,569.08,500g
Grb Soan Cake,Sweets,$3.51,190.42,200gm
Haldiram's Sweet Kaju Katli,Sweets,$14.67,795.85,28 pcs
Ratna Alphanso Mango Pulp,Sweets,$9.99,541.96,850g
Nanak Rasmalai Mango,Sweets,$17.38,942.86,850g
Grb Dates Halwa,Sweets,$3.99,216.46,200g
Haldiram's Rajbhog,Sweets,$7.19,390.06,1kg
Saurbhi Sweet - Kaju Katri,Sweets,$15.81,857.69,400g
Haldiram's Kesar Rasbhari,Sweets,$7.19,390.06,1kg
Grb Soan Papdi,Sweets,$3.80,206.15,200g
Haldiram's Sweet MotiChoor Ladoo,Sweets,$9.53,517.0,12pcs
Haldiram's Soan Papdi Red,Sweets,$6.49,352.08,500g
Mother's Alphanso Pulp,Sweets,$6.25,339.06,850g
Bikano Panjeeri Laddu,Sweets,$5.99,324.96,400g
Rajah's Gulab Jamun,Sweets,"was $1.99


$1.49",107.96,250g
GRB Dry Fruit Halwa,Sweets,$3.99,216.46,200g
Nanak Gulab Jamun,Sweets,$13.75,745.94,908g
Saurbhi Soan Papdi,Sweets,$2.99,162.21,250g
Nanak Rasmalai Kesar,Sweets,$17.82,966.74,850g
Saurbhi Sweet Milk Cake,Sweets,$13.75,745.94,400g
Indya Pulp - Alphonso Mango,Sweets,$5.71,309.77,850g
Haldiram's Rasmalai,Sweets,$20.35,1103.99,4kg
Bc Kaju Katli,Sweets,$6.19,335.81,200g
Saurbhi Sweet - Kaju Mix,Sweets,$15.00,813.75,400g
Maharaja Choice Shahi Jamun,Sweets,$6.99,379.21,1kg
Kanha Malpua,Sweets,"was $7.99


$6.89",433.46,1kg
Mother's Kesar Mango Pulp,Sweets,$5.63,305.43,850g
Haldiram's Cham Cham,Sweets,$7.19,390.06,1kg
Saurbhi Sweet Kaju Pista Roll,Sweets,$14.60,792.05,400g
Yash Mathiya,Frozen,$2.99,162.21,200g
Home Roots Paratha - Aloo X,Frozen,$3.99,216.46,95g
Home Roots Paratha - Malabar X,Frozen,"was $4.99


$3.49",270.71,80g
Home Roots Jumbo Bombay Vada,Frozen,"was $5.99


$3.49",324.96,380g
Home Roots Punjabi Samosa Jumbo x,Frozen,$15.49,840.33,100g
Shuddh Ice Cream - Tutti Frutti,Frozen,$3.66,198.56,150ml
Shuddh Ice Cream - Pistachio,Frozen,$3.66,198.56,150ml
Shuddh Ice Cream - Mango,Frozen,$3.66,198.56,150ml
Home Roots Paratha - Home Style x,Frozen,"was $4.99


$3.49",270.71,57g
Talod Mathiya,Frozen,$9.99,541.96,500g
Deep Frozen Veg - Green Chilli - Hot,Frozen,$3.28,177.94,340g
Deep Frozen Veg - Bhindi Cut,Frozen,$3.28,177.94,340g
Vadilal Bhindi Cut (​Cut Okra),Frozen,$3.28,177.94,312g
Vadilal Green Chilli,Frozen,$3.28,177.94,312g
Vadilal Tindora,Frozen,$3.28,177.94,312g
Vadilal Guvar,Frozen,$3.28,177.94,312g
Katoomba Paratha - WholeMeal 30 Pc,Frozen,$17.83,967.28,30g
Vadilal Drumstick,Frozen,$3.28,177.94,312g
Deep Frozen Veg - Tindora,Frozen,$3.28,177.94,340g
Ayers Rock Coconut Shreded,Frozen,$4.90,265.83,400g
Deep Frozen Veg - Drumsticks,Frozen,$3.28,177.94,340g
Deep Frozen Veg - Guvar,Frozen,$3.28,177.94,340g
Haldiram Phulka Roti,Frozen,$12.70,688.97,900g
Karan's Coconut Grated,Frozen,$3.75,203.44,400g
Vadilal Methi - Fenugreek,Frozen,$3.92,212.66,312g
Vadilal Arvi,Frozen,$3.28,177.94,312g
Katoomba Paratha - Plain,Frozen,$17.83,967.28,30 Pcs
Deep Frozen Veg - Arvi,Frozen,$3.28,177.94,340g
Vadilal Green Peas - Mutter,Frozen,$3.28,177.94,312g
Haldiram Paratha - Paneer Onion,Frozen,$7.07,383.55,400g
Vadilal Parwal,Frozen,$3.28,177.94,312g
Vadilal Coconut Slices,Frozen,$3.90,211.58,312g
Deep Samosa 50 Cocktail Potato - NONG,Frozen,$5.11,277.22,50g
Vadilal Val Papadi,Frozen,$3.30,179.02,312g
Vadilal Red Onion,Frozen,$3.28,177.94,312g
Vadilal Baby Bhindi Whole,Frozen,$3.28,177.94,312g
Haldiram Paratha - Gobi,Frozen,$6.96,377.58,400g
Deep Frozen Veg - Bhindi Whole,Frozen,$3.28,177.94,340g
Vadilal Coconut Grated,Frozen,$3.91,212.12,312g
Haldiram Hara Bhara Kebab,Frozen,$7.32,397.11,300g
Pattu Paratha Plain,Frozen,$16.48,894.04,30 Pcs
Vadilal Suran - Yam,Frozen,$3.28,177.94,312g
Saurbhi Iqf - Green Chilli Hot,Frozen,$2.18,118.27,312g
Vadilal Green Mango Offcut,Frozen,$3.28,177.94,312g
Dairy Farmers Full Cream Milk,Dairy,$6.26,339.6,3ltr
Sharma Paneer approx to,Dairy,"$5.93
(approx.)


$19.76 per kg",321.7,250g
Shuddh Paneer approx to,Dairy,"$7.30
(approx.)


$18.25 per kg",396.02,400g
Dosa / Idli Batter - Shree Ganesh,Dairy,$7.65,415.01,1l
Shhahi Paneer approx to,Dairy,"$6.30

350g
(approx.)


$17.99 per kg",341.78,350g
Sharma Yoghurt,Dairy,$10.60,575.05,2kg
Dosa / Idli Batter - Shree Ganesh,Dairy,$13.65,740.51,2l
Chtaura Yoghurt,Dairy,$8.43,457.33,2kg
Shree Ganesha Paneer Approx to,Dairy,"$5.34
(approx.)


$17.81 per kg",289.7,300g
Dosa / Idli Batter - Amma,Dairy,$7.33,397.65,1l
Sharma Yoghurt,Dairy,$3.25,176.31,500g
Dosa / Idli Batter - Amma,Dairy,$13.73,744.85,2l
Shree Ganesh Yoghurt,Dairy,$9.28,503.44,2kg
Chtaura Yoghurt,Dairy,$14.17,768.72,5kg
Shuddh Yoghurt,Dairy,"$9.76


$9.76 per kg",529.48,2kg
Shree Ganesh Yoghurt,Dairy,$5.90,320.08,1kg
Shuddh Yoghurt,Dairy,"$6.27


$6.27 per kg",340.15,1kg
Chtaura Yoghurt,Dairy,$4.82,261.48,1kg
Mother Whipped Butter,Dairy,$6.33,343.4,250ml
Shree Ganesh Yoghurt,Dairy,$18.80,1019.9,5kg
Sai Shree - Yoghurt,Dairy,$8.47,459.5,2kg
Sai Shree - Yoghurt,Dairy,"$16.59


$16.59 per kg",900.01,5kg
Shuddh Mango Lassi,Dairy,"$3.21


$3.21 per kg",174.14,300ml
Sharma Yoghurt,Dairy,$23.98,1300.92,5kg
Sharma Mango Lassi Best Before - 08/​02/​2024,Dairy,"$3.99


$3.99 per kg",216.46,300ml
Sai Shree - Yoghurt,Dairy,$5.24,284.27,1kg
Sahara Yoghurt,Dairy,$10.99,596.21,2kg
Shuddh Yoghurt,Dairy,"$18.98


$18.98 per kg",1029.66,5kg
Indya Whipped Butter,Dairy,$12.14,658.6,250g
Sharma Kesar Milk,Dairy,"$3.63


$3.63 per kg",196.93,300ml
Shuddh Yoghurt,Dairy,"$33.13


$33.13 per kg",1797.3,10kg
Shuddh Rose Chia Lassi Best Before - 05/​02/​2024,Dairy,"$3.99


$3.99 per kg",216.46,300ml
Shuddh Paneer Big Block approx to,Dairy,"$45.62
(approx.)


$18.25 per kg",2474.88,2kg
Indya Whipped Butter,Dairy,$23.57,1278.67,600g
Yakult Ferented Mlkdrink X,Dairy,$4.25,230.56,6l
Sai Shree Mango Lassi Best Before - 15/​02/​2024,Dairy,$3.69,200.18,300ml
Shuddh Badam Milk,Dairy,"$3.21


$3.21 per kg",174.14,300ml
Mother's Pride Mukhawas - Jaipuri,Mukhavas,"was $13.00


$9.99",705.25,1kg
Mother's Pride Fennel Seed Raw,Mukhavas,$10.31,559.32,500g
Dabur Hajmola Imli,Mukhavas,$2.20,119.35,76g
Saurbhi Fennel Seeds Raw,Mukhavas,$13.75,745.94,500g
Dabur Hajmola Regular,Mukhavas,$2.36,128.03,76g
Saurbhi Calcutti Pan Mix,Mukhavas,$3.58,194.22,200g
Mother's Pride Mukhawas - Calcutti Pan,Mukhavas,$2.95,160.04,200g
Mother's Pride Dhana Dal,Mukhavas,$2.00,108.5,200g
Mother's Pride Mukhawas - Shahi,Mukhavas,$2.95,160.04,200g
Mother's Pride Fennel Seed Raw,Mukhavas,$20.53,1113.75,1kg
Dabur Hajmola Pudina,Mukhavas,$1.85,100.36,120pcs
Mother's Pride Mukhawas - Jaipuri,Mukhavas,$2.95,160.04,200g
Mother's Pride Mukhawas - Kesar Mix,Mukhavas,$2.95,160.04,200g
Mother's Pride Dhana Dal,Mukhavas,$4.80,260.4,500g
Mother's Pride Mukhawas - Imli Goli,Mukhavas,$2.95,160.04,200g
Hawaban Harde,Mukhavas,$3.99,216.46,100g
Mother's Pride Mukhawas - Imli Goli,Mukhavas,$2.49,135.08,150g
Saurbhi Calcutti Pan Mix,Mukhavas,$14.17,768.72,1kg
Mother's Pride Flax (​Alsi) Seed,Mukhavas,$3.29,178.48,500g
Mother's Pride Mukhawas - Gujarati,Mukhavas,$2.95,160.04,200g
Mother's Pride Mukhawas - Pachak Amla,Mukhavas,$2.95,160.04,200g
Mother's Pride Mukhawas - Roasted,Mukhavas,$2.95,160.04,200g
Mother's Pride Flax (​Alsi) Seed,Mukhavas,$1.59,86.26,200g
Mother's Pride Mukhawas - Calcutti Pan,Mukhavas,$13.00,705.25,1kg
Saurbhi Mukhavas Til Roasted,Mukhavas,$2.76,149.73,200g
Saurbhi Mukhavas Roasted,Mukhavas,$3.45,187.16,200g
Mother's Pride Dhana Dal,Mukhavas,$9.82,532.74,1kg
Mother's Pride Mukhawas - Gujarati,Mukhavas,$2.49,135.08,140gm
Mother's Pride Mukhawas - Kesar Mix,Mukhavas,$2.49,135.08,170g
Mother's Pride Mukhawas - Shahi Mix,Mukhavas,$2.49,135.08,170g
Patanjali Pachak Hing Goli,Mukhavas,$3.46,187.7,100g
Saurbhi Mulethi Whole,Mukhavas,$2.76,149.73,100g
Saurbhi Tooty Fruity Green,Mukhavas,$1.85,100.36,200g
Viya Dried Rose Petals,Mukhavas,$5.50,298.38,100gm
Mother's Pride Mukhawas - Sugar Coated,Mukhavas,$2.95,160.04,200g
Dabur Hingoli,Mukhavas,$2.51,136.17,90pcs
Saurbhi Calcutti Pan Mix,Mukhavas,$5.48,297.29,300g
Saurbhi Mukhavas Jaypuri,Mukhavas,$10.68,579.39,1kg
Mother's Pride Mukhawas - Jaipuri,Mukhavas,$2.49,135.08,180g
Mother's Pride Mukhawas - Jira Goli,Mukhavas,$2.49,135.08,225g
Mother's Pride Mukhawas - Sugar Coated Fennel Seed,Mukhavas,$2.49,135.08,245g
Dabur Triphala Churan,Mukhavas,$3.29,178.48,120g
Lata's Calcutta Meetha Pan,Mukhavas,$6.05,328.21,250g
Marathi Swad Gulkand Best Before - 14/​04/​2024,Mukhavas,"was $5.81


$4.29",315.19,200g
Saurbhi Tooty Fruity Red,Mukhavas,$6.28,340.69,1kg
Dabur Triphala Churan,Mukhavas,$9.17,497.47,500g
Mother's Pride Mukhawas - Sweet Amla,Mukhavas,$2.95,160.04,200g
Mother's Pride Mukhwas - Imli Ladu,Mukhavas,$2.49,135.08,200g
Kurkure Masala Munch,Snacks & Chips,"was $1.99


$1.79",107.96,82g
Lay's Magic Masala,Snacks & Chips,"was $1.99


$1.79",107.96,52g
Kurkure Green chutney Rajasthani Style,Snacks & Chips,"was $1.99


$1.79",107.96,75g
Uncle Chips Spicy Treat,Snacks & Chips,$2.08,112.84,55g
Lay's Spanish Tomato Tamgo,Snacks & Chips,"was $1.99


$1.79",107.96,52gm
Kurkure Solid Masti,Snacks & Chips,"was $1.99


$1.79",107.96,75g
Kurkure Naughty Tomato,Snacks & Chips,"was $2.08


$1.79",112.84,90g
